"RelativePath"                                                                , "Width", "Height", "Format"
"environment\EnvCube_Evergreen03a.dds"                                        , "512"  , "512"   , "dds"
"environment\EnvCube_Evergreen05a.dds"                                        , "512"  , "512"   , "dds"
"environment\EnvCube_Geothermal02a.dds"                                       , "512"  , "512"   , "dds"
"environment\EnvCube_Lava01a.dds"                                             , "512"  , "512"   , "dds"
"environment\EnvCube_RedRocks05a.dds"                                         , "512"  , "512"   , "dds"
"environment\EnvCube_RedRocks06.dds"                                          , "512"  , "512"   , "dds"
"environment\EnvCube_RedRocks08a.dds"                                         , "512"  , "512"   , "dds"
"environment\EnvCube_RedRocks09a.dds"                                         , "512"  , "512"   , "dds"
"environment\EnvCube_RedRocks10.dds"                                          , "512"  , "512"   , "dds"
"environment\EnvCube_Scx1Proto02.dds"                                         , "512"  , "512"   , "dds"
"environment\EnvCube_seraphim_aliencrystal.dds"                               , "128"  , "128"   , "dds"
"environment\EnvCube_seraphim_desert.dds"                                     , "128"  , "128"   , "dds"
"environment\EnvCube_seraphim_Evergreen.dds"                                  , "128"  , "128"   , "dds"
"environment\EnvCube_seraphim_geothermal.dds"                                 , "128"  , "128"   , "dds"
"environment\EnvCube_seraphim_lava.dds"                                       , "128"  , "128"   , "dds"
"environment\EnvCube_seraphim_redrocks.dds"                                   , "128"  , "128"   , "dds"
"environment\EnvCube_seraphim_tropical.dds"                                   , "128"  , "128"   , "dds"
"environment\EnvCube_seraphim_tundra.dds"                                     , "128"  , "128"   , "dds"
"environment\EnvCube_Tropical01a.dds"                                         , "512"  , "512"   , "dds"
"environment\EnvCube_TropicalOp06a.dds"                                       , "512"  , "512"   , "dds"
"environment\EnvCube_Tundra02a.dds"                                           , "512"  , "512"   , "dds"
"environment\EnvCube_Tundra03a.dds"                                           , "512"  , "512"   , "dds"
"environment\EnvCube_Tundra04a.dds"                                           , "512"  , "512"   , "dds"
"environment\Eridani_bmp.dds"                                                 , "1024" , "1024"  , "dds"
"environment\Falloff_seraphim_lookup.dds"                                     , "512"  , "512"   , "dds"
"environment\horizonLookup.dds"                                               , "128"  , "4"     , "dds"
"environment\Luthien_bmp.dds"                                                 , "1024" , "1024"  , "dds"
"environment\Matar_bmp.dds"                                                   , "1024" , "1024"  , "dds"
"environment\Minerva_bmp.dds"                                                 , "1024" , "1024"  , "dds"
"environment\moonAlbedo000.dds"                                               , "256"  , "256"   , "dds"
"environment\moonGlow000.dds"                                                 , "256"  , "256"   , "dds"
"environment\Orionis_bmp.dds"                                                 , "1024" , "1024"  , "dds"
"environment\Pisces IV_bmp.dds"                                               , "1024" , "1024"  , "dds"
"environment\Pollux_bmp.dds"                                                  , "1024" , "1024"  , "dds"
"environment\Procyon_bmp.dds"                                                 , "1024" , "1024"  , "dds"
"environment\reveal.dds"                                                      , "32"   , "32"    , "dds"
"environment\Rigel_bmp.dds"                                                   , "1024" , "1024"  , "dds"
