"RelativePath"                                                                , "Width", "Height", "Format"
"tilesets\paradise\fill\P_BM004.dds"                                          , "32"   , "32"    , "dds"
"tilesets\paradise\fill\P_BM005_N.dds"                                        , "64"   , "64"    , "dds"
"tilesets\paradise\fill\P_BM005.dds"                                          , "64"   , "64"    , "dds"
"tilesets\paradise\fill\P_BM006_N.dds"                                        , "32"   , "32"    , "dds"
"tilesets\paradise\fill\P_BM006.dds"                                          , "32"   , "32"    , "dds"
"tilesets\paradise\fill\P_BS001_N.dds"                                        , "16"   , "16"    , "dds"
"tilesets\paradise\fill\P_BS001.dds"                                          , "16"   , "16"    , "dds"
"tilesets\paradise\fill\P_DDL001_N.dds"                                       , "256"  , "256"   , "dds"
"tilesets\paradise\fill\P_DDL001.dds"                                         , "256"  , "256"   , "dds"
"tilesets\paradise\fill\P_DDM001_N.dds"                                       , "128"  , "128"   , "dds"
"tilesets\paradise\fill\P_DDM001.dds"                                         , "128"  , "128"   , "dds"
"tilesets\paradise\fill\P_DDS001_N.dds"                                       , "32"   , "32"    , "dds"
"tilesets\paradise\fill\P_DDS001.dds"                                         , "32"   , "32"    , "dds"
"tilesets\paradise\fill\P_DLL001_N.dds"                                       , "256"  , "256"   , "dds"
"tilesets\paradise\fill\P_DLL001.dds"                                         , "256"  , "256"   , "dds"
"tilesets\paradise\fill\P_DLM001_N.dds"                                       , "128"  , "128"   , "dds"
"tilesets\paradise\fill\P_DLM001.dds"                                         , "128"  , "128"   , "dds"
"tilesets\paradise\fill\P_DLS001_N.dds"                                       , "64"   , "64"    , "dds"
"tilesets\paradise\fill\P_DLS001.dds"                                         , "64"   , "64"    , "dds"
"tilesets\paradise\fill\P_GDL001_N.dds"                                       , "128"  , "128"   , "dds"
"tilesets\paradise\fill\P_GDL001.dds"                                         , "128"  , "128"   , "dds"
"tilesets\paradise\fill\P_GDL002_N.dds"                                       , "256"  , "256"   , "dds"
"tilesets\paradise\fill\P_GDL002.dds"                                         , "256"  , "256"   , "dds"
"tilesets\paradise\fill\P_GDM001_N.dds"                                       , "128"  , "128"   , "dds"
"tilesets\paradise\fill\P_GDM001.dds"                                         , "128"  , "128"   , "dds"
"tilesets\paradise\fill\P_GDM002_N.dds"                                       , "128"  , "128"   , "dds"
"tilesets\paradise\fill\P_GDM002.dds"                                         , "128"  , "128"   , "dds"
"tilesets\paradise\fill\P_GDS001_N.dds"                                       , "64"   , "64"    , "dds"
"tilesets\paradise\fill\P_GDS001.dds"                                         , "64"   , "64"    , "dds"
"tilesets\paradise\fill\P_GDS002_N.dds"                                       , "32"   , "32"    , "dds"
"tilesets\paradise\fill\P_GDS002.dds"                                         , "32"   , "32"    , "dds"
"tilesets\paradise\fill\P_GLL001_N.dds"                                       , "256"  , "256"   , "dds"
"tilesets\paradise\fill\P_GLL001.dds"                                         , "256"  , "256"   , "dds"
"tilesets\paradise\fill\P_GLL002_N.dds"                                       , "256"  , "256"   , "dds"
"tilesets\paradise\fill\P_GLL002.dds"                                         , "256"  , "256"   , "dds"
"tilesets\paradise\fill\P_GLM001_N.dds"                                       , "128"  , "128"   , "dds"
"tilesets\paradise\fill\P_GLM001.dds"                                         , "128"  , "128"   , "dds"
"tilesets\paradise\fill\P_GLM002_N.dds"                                       , "128"  , "128"   , "dds"
"tilesets\paradise\fill\P_GLM002.dds"                                         , "128"  , "128"   , "dds"
"tilesets\paradise\fill\P_GLM003_N.dds"                                       , "128"  , "128"   , "dds"
"tilesets\paradise\fill\P_GLM003.dds"                                         , "128"  , "128"   , "dds"
"tilesets\paradise\fill\P_GLS001_N.dds"                                       , "64"   , "64"    , "dds"
"tilesets\paradise\fill\P_GLS001.dds"                                         , "64"   , "64"    , "dds"
"tilesets\paradise\fill\P_GLS002_N.dds"                                       , "32"   , "32"    , "dds"
"tilesets\paradise\fill\P_GLS002.dds"                                         , "32"   , "32"    , "dds"
"tilesets\paradise\fill\P_RLL001_N.dds"                                       , "512"  , "512"   , "dds"
"tilesets\paradise\fill\P_RLL001.dds"                                         , "1024" , "1024"  , "dds"
"tilesets\paradise\fill\P_RLL002.dds"                                         , "512"  , "512"   , "dds"
"tilesets\paradise\fill\P_SIL001_N.dds"                                       , "256"  , "256"   , "dds"
"tilesets\paradise\fill\P_SIL001.dds"                                         , "256"  , "256"   , "dds"
"tilesets\paradise\fill\P_SIM001_N.dds"                                       , "128"  , "128"   , "dds"
"tilesets\paradise\fill\P_SIM001.dds"                                         , "128"  , "128"   , "dds"
"tilesets\paradise\fill\P_SIS001_N.dds"                                       , "64"   , "64"    , "dds"
"tilesets\paradise\fill\P_SIS001.dds"                                         , "64"   , "64"    , "dds"
"tilesets\paradise\fill\P_SLL001_N.dds"                                       , "256"  , "256"   , "dds"
"tilesets\paradise\fill\P_SLL001.dds"                                         , "256"  , "256"   , "dds"
"tilesets\paradise\fill\P_SLM001_N.dds"                                       , "128"  , "128"   , "dds"
"tilesets\paradise\fill\P_SLM001.dds"                                         , "128"  , "128"   , "dds"
"tilesets\paradise\fill\P_SLS001_N.dds"                                       , "32"   , "32"    , "dds"
"tilesets\paradise\fill\P_SLS001.dds"                                         , "32"   , "32"    , "dds"
"tilesets\paradise\fill\P_SLS002_N.dds"                                       , "64"   , "64"    , "dds"
"tilesets\paradise\fill\P_SLS002.dds"                                         , "64"   , "64"    , "dds"
"ui\aeon\dialogs\menu-btns\close_btn_dis.dds"                                 , "24"   , "24"    , "dds"
"ui\aeon\dialogs\menu-btns\close_btn_down.dds"                                , "24"   , "24"    , "dds"
"ui\aeon\dialogs\menu-btns\close_btn_over.dds"                                , "24"   , "24"    , "dds"
"ui\aeon\dialogs\menu-btns\close_btn_up.dds"                                  , "24"   , "24"    , "dds"
"ui\aeon\dialogs\menu-btns\config_btn_dis.dds"                                , "24"   , "24"    , "dds"
"ui\aeon\dialogs\menu-btns\config_btn_down.dds"                               , "24"   , "24"    , "dds"
"ui\aeon\dialogs\menu-btns\config_btn_over.dds"                               , "24"   , "24"    , "dds"
"ui\aeon\dialogs\menu-btns\config_btn_up.dds"                                 , "24"   , "24"    , "dds"
"ui\aeon\dialogs\menu-btns\default_btn_dis.dds"                               , "24"   , "24"    , "dds"
"ui\aeon\dialogs\menu-btns\default_btn_down.dds"                              , "24"   , "24"    , "dds"
"ui\aeon\dialogs\menu-btns\default_btn_over.dds"                              , "24"   , "24"    , "dds"
"ui\aeon\dialogs\menu-btns\default_btn_up.dds"                                , "24"   , "24"    , "dds"
"ui\aeon\dialogs\menu-btns\pin_btn_dis.dds"                                   , "24"   , "24"    , "dds"
"ui\aeon\dialogs\menu-btns\pin_btn_down.dds"                                  , "24"   , "24"    , "dds"
"ui\aeon\dialogs\menu-btns\pin_btn_over.dds"                                  , "24"   , "24"    , "dds"
"ui\aeon\dialogs\menu-btns\pin_btn_up.dds"                                    , "24"   , "24"    , "dds"
"ui\aeon\dialogs\menu-btns\pinned_btn_dis.dds"                                , "24"   , "24"    , "dds"
"ui\aeon\dialogs\menu-btns\pinned_btn_down.dds"                               , "24"   , "24"    , "dds"
"ui\aeon\dialogs\menu-btns\pinned_btn_over.dds"                               , "24"   , "24"    , "dds"
"ui\aeon\dialogs\menu-btns\pinned_btn_up.dds"                                 , "24"   , "24"    , "dds"
"ui\aeon\dialogs\time-units-tabs\energy_bmp.dds"                              , "16"   , "28"    , "dds"
"ui\aeon\dialogs\time-units-tabs\panel-tracking_bmp_d.dds"                    , "12"   , "44"    , "dds"
"ui\aeon\dialogs\time-units-tabs\panel-tracking_bmp_l.dds"                    , "24"   , "44"    , "dds"
"ui\aeon\dialogs\time-units-tabs\panel-tracking_bmp_m.dds"                    , "4"    , "44"    , "dds"
"ui\aeon\dialogs\time-units-tabs\panel-tracking_bmp_r.dds"                    , "24"   , "44"    , "dds"
"ui\aeon\dialogs\time-units-tabs\tracking-icon_bmp.dds"                       , "24"   , "20"    , "dds"
"ui\aeon\game\avatar-arrow_btn\tab-close_btn_dis.dds"                         , "12"   , "32"    , "dds"
"ui\aeon\game\avatar-arrow_btn\tab-close_btn_down.dds"                        , "12"   , "32"    , "dds"
"ui\aeon\game\avatar-arrow_btn\tab-close_btn_over.dds"                        , "12"   , "32"    , "dds"
"ui\aeon\game\avatar-arrow_btn\tab-close_btn_up.dds"                          , "12"   , "32"    , "dds"
"ui\aeon\game\avatar-arrow_btn\tab-open_btn_dis.dds"                          , "12"   , "32"    , "dds"
"ui\aeon\game\avatar-arrow_btn\tab-open_btn_down.dds"                         , "12"   , "32"    , "dds"
"ui\aeon\game\avatar-arrow_btn\tab-open_btn_over.dds"                         , "12"   , "32"    , "dds"
"ui\aeon\game\avatar-arrow_btn\tab-open_btn_up.dds"                           , "12"   , "32"    , "dds"
"ui\aeon\game\avatar-engineers-panel\bracket_bmp.dds"                         , "28"   , "52"    , "dds"
"ui\aeon\game\avatar-engineers-panel\panel-eng_bmp_b.dds"                     , "92"   , "12"    , "dds"
"ui\aeon\game\avatar-engineers-panel\panel-eng_bmp_m.dds"                     , "92"   , "44"    , "dds"
"ui\aeon\game\avatar-engineers-panel\panel-eng_bmp_t.dds"                     , "92"   , "12"    , "dds"
"ui\aeon\game\avatar-engineers-panel\tech-1_bmp.dds"                          , "28"   , "28"    , "dds"
"ui\aeon\game\avatar-engineers-panel\tech-2_bmp.dds"                          , "28"   , "28"    , "dds"
"ui\aeon\game\avatar-engineers-panel\tech-3_bmp.dds"                          , "28"   , "28"    , "dds"
"ui\aeon\game\avatar-factory-panel\avatar-s-e-f_bmp.dds"                      , "48"   , "52"    , "dds"
"ui\aeon\game\avatar-factory-panel\bracket_bmp.dds"                           , "24"   , "48"    , "dds"
"ui\aeon\game\avatar-factory-panel\factory-panel_bmp.dds"                     , "188"  , "164"   , "dds"
"ui\aeon\game\avatar-factory-panel\factory-panel_brd_horz_um.dds"             , "44"   , "20"    , "dds"
"ui\aeon\game\avatar-factory-panel\factory-panel_brd_ll.dds"                  , "40"   , "56"    , "dds"
"ui\aeon\game\avatar-factory-panel\factory-panel_brd_lm.dds"                  , "44"   , "56"    , "dds"
"ui\aeon\game\avatar-factory-panel\factory-panel_brd_lr.dds"                  , "64"   , "56"    , "dds"
"ui\aeon\game\avatar-factory-panel\factory-panel_brd_ul.dds"                  , "40"   , "20"    , "dds"
"ui\aeon\game\avatar-factory-panel\factory-panel_brd_ur.dds"                  , "64"   , "20"    , "dds"
"ui\aeon\game\avatar-factory-panel\factory-panel_brd_vert_l.dds"              , "40"   , "44"    , "dds"
"ui\aeon\game\avatar-factory-panel\factory-panel_brd_vert_r.dds"              , "64"   , "44"    , "dds"
"ui\aeon\game\avatar-factory-panel\strat-icon-air_bmp.dds"                    , "8"    , "8"     , "dds"
"ui\aeon\game\avatar-factory-panel\strat-icon-land_bmp.dds"                   , "8"    , "8"     , "dds"
"ui\aeon\game\avatar-factory-panel\strat-icon-sea_bmp.dds"                    , "8"    , "8"     , "dds"
"ui\aeon\game\avatar-factory-panel\tech-1_bmp.dds"                            , "20"   , "24"    , "dds"
"ui\aeon\game\avatar-factory-panel\tech-2_bmp.dds"                            , "20"   , "24"    , "dds"
"ui\aeon\game\avatar-factory-panel\tech-3_bmp.dds"                            , "20"   , "20"    , "dds"
"ui\aeon\game\avatar\avatar_bmp.dds"                                          , "64"   , "68"    , "dds"
"ui\aeon\game\avatar\avatar-control-group_bmp.dds"                            , "48"   , "36"    , "dds"
"ui\aeon\game\avatar\avatar-s-e-f_bmp.dds"                                    , "56"   , "52"    , "dds"
"ui\aeon\game\avatar\health-bar-back_bmp.dds"                                 , "52"   , "16"    , "dds"
"ui\aeon\game\avatar\health-bar.dds"                                          , "44"   , "12"    , "dds"
"ui\aeon\game\avatar\pulse-bars_bmp.dds"                                      , "64"   , "64"    , "dds"
"ui\aeon\game\bracket-left-energy\bracket_bmp_b.dds"                          , "20"   , "16"    , "dds"
"ui\aeon\game\bracket-left-energy\bracket_bmp_m.dds"                          , "12"   , "4"     , "dds"
"ui\aeon\game\bracket-left-energy\bracket_bmp_t.dds"                          , "20"   , "20"    , "dds"
"ui\aeon\game\bracket-left-energy\bracket_bmp.dds"                            , "20"   , "68"    , "dds"
"ui\aeon\game\bracket-left\bracket_bmp_b.dds"                                 , "32"   , "28"    , "dds"
"ui\aeon\game\bracket-left\bracket_bmp_m.dds"                                 , "16"   , "4"     , "dds"
"ui\aeon\game\bracket-left\bracket_bmp_t.dds"                                 , "32"   , "68"    , "dds"
"ui\aeon\game\bracket-left\bracket_bmp.dds"                                   , "32"   , "116"   , "dds"
"ui\aeon\game\bracket-min-small\bracket-sm-left_bmp.dds"                      , "24"   , "72"    , "dds"
"ui\aeon\game\bracket-min-small\bracket-sm-right_bmp.dds"                     , "24"   , "68"    , "dds"
"ui\aeon\game\bracket-right-energy\bracket_bmp_b.dds"                         , "20"   , "16"    , "dds"
"ui\aeon\game\bracket-right-energy\bracket_bmp_m.dds"                         , "12"   , "4"     , "dds"
"ui\aeon\game\bracket-right-energy\bracket_bmp_t.dds"                         , "20"   , "20"    , "dds"
"ui\aeon\game\bracket-right-energy\bracket_bmp.dds"                           , "20"   , "68"    , "dds"
"ui\aeon\game\bracket-right\bracket_bmp_b.dds"                                , "32"   , "28"    , "dds"
"ui\aeon\game\bracket-right\bracket_bmp_m.dds"                                , "16"   , "4"     , "dds"
"ui\aeon\game\bracket-right\bracket_bmp_t.dds"                                , "32"   , "68"    , "dds"
"ui\aeon\game\bracket-right\bracket_bmp.dds"                                  , "32"   , "116"   , "dds"
"ui\aeon\game\c-q-e-panel\arrow_bmp.dds"                                      , "28"   , "16"    , "dds"
"ui\aeon\game\c-q-e-panel\arrow_vert_bmp.dds"                                 , "16"   , "24"    , "dds"
"ui\aeon\game\c-q-e-panel\construct-panel_bmp_l.dds"                          , "84"   , "60"    , "dds"
"ui\aeon\game\c-q-e-panel\divider_bmp.dds"                                    , "12"   , "56"    , "dds"
"ui\aeon\game\c-q-e-panel\divider_horizontal_bmp.dds"                         , "64"   , "12"    , "dds"
"ui\aeon\game\camera-btn\pinned_btn_dis.dds"                                  , "24"   , "24"    , "dds"
"ui\aeon\game\camera-btn\pinned_btn_down.dds"                                 , "24"   , "24"    , "dds"
"ui\aeon\game\camera-btn\pinned_btn_over.dds"                                 , "24"   , "24"    , "dds"
"ui\aeon\game\camera-btn\pinned_btn_up.dds"                                   , "24"   , "24"    , "dds"
"ui\aeon\game\chat_brd\chat_brd_horz_um.dds"                                  , "8"    , "48"    , "dds"
"ui\aeon\game\chat_brd\chat_brd_ll.dds"                                       , "44"   , "48"    , "dds"
"ui\aeon\game\chat_brd\chat_brd_lm.dds"                                       , "8"    , "48"    , "dds"
"ui\aeon\game\chat_brd\chat_brd_lr.dds"                                       , "44"   , "48"    , "dds"
"ui\aeon\game\chat_brd\chat_brd_m.dds"                                        , "8"    , "8"     , "dds"
"ui\aeon\game\chat_brd\chat_brd_ul.dds"                                       , "44"   , "48"    , "dds"
"ui\aeon\game\chat_brd\chat_brd_ur.dds"                                       , "44"   , "48"    , "dds"
"ui\aeon\game\chat_brd\chat_brd_vert_l.dds"                                   , "44"   , "8"     , "dds"
"ui\aeon\game\chat_brd\chat_brd_vert_r.dds"                                   , "44"   , "8"     , "dds"
"ui\aeon\game\chat_brd\drop-box_brd_horz_um.dds"                              , "8"    , "16"    , "dds"
"ui\aeon\game\chat_brd\drop-box_brd_ll.dds"                                   , "16"   , "12"    , "dds"
"ui\aeon\game\chat_brd\drop-box_brd_lm.dds"                                   , "8"    , "12"    , "dds"
"ui\aeon\game\chat_brd\drop-box_brd_lr.dds"                                   , "16"   , "12"    , "dds"
"ui\aeon\game\chat_brd\drop-box_brd_m.dds"                                    , "8"    , "8"     , "dds"
"ui\aeon\game\chat_brd\drop-box_brd_ul.dds"                                   , "16"   , "16"    , "dds"
"ui\aeon\game\chat_brd\drop-box_brd_ur.dds"                                   , "16"   , "16"    , "dds"
"ui\aeon\game\chat_brd\drop-box_brd_vert_l.dds"                               , "16"   , "8"     , "dds"
"ui\aeon\game\chat_brd\drop-box_brd_vert_r.dds"                               , "16"   , "8"     , "dds"
"ui\aeon\game\chat-box_btn\radio_btn_dis.dds"                                 , "28"   , "28"    , "dds"
"ui\aeon\game\chat-box_btn\radio_btn_down.dds"                                , "28"   , "28"    , "dds"
"ui\aeon\game\chat-box_btn\radio_btn_over.dds"                                , "28"   , "28"    , "dds"
"ui\aeon\game\chat-box_btn\radio_btn_up.dds"                                  , "28"   , "28"    , "dds"
"ui\aeon\game\construct-panel_vert\construct-panel_bmp_b.dds"                 , "172"  , "12"    , "dds"
"ui\aeon\game\construct-panel_vert\construct-panel_bmp_m.dds"                 , "172"  , "8"     , "dds"
"ui\aeon\game\construct-panel_vert\construct-panel_bmp_t.dds"                 , "172"  , "64"    , "dds"
"ui\aeon\game\construct-panel_vert\que-panel_bmp_b.dds"                       , "60"   , "8"     , "dds"
"ui\aeon\game\construct-panel_vert\que-panel_bmp_m.dds"                       , "60"   , "8"     , "dds"
"ui\aeon\game\construct-panel_vert\que-panel_bmp_t.dds"                       , "60"   , "8"     , "dds"
"ui\aeon\game\construct-panel\construct-panel_bmp_l.dds"                      , "84"   , "140"   , "dds"
"ui\aeon\game\construct-panel\construct-panel_bmp_m1.dds"                     , "8"    , "140"   , "dds"
"ui\aeon\game\construct-panel\construct-panel_bmp_m2.dds"                     , "16"   , "140"   , "dds"
"ui\aeon\game\construct-panel\construct-panel_bmp_m3.dds"                     , "8"    , "112"   , "dds"
"ui\aeon\game\construct-panel\construct-panel_bmp_r.dds"                      , "16"   , "112"   , "dds"
"ui\aeon\game\construct-panel\construct-panel_s_bmp_l.dds"                    , "16"   , "112"   , "dds"
"ui\aeon\game\construct-panel\construct-panel_s_bmp_m.dds"                    , "8"    , "112"   , "dds"
"ui\aeon\game\construct-panel\construct-panel_s_bmp_r.dds"                    , "16"   , "112"   , "dds"
"ui\aeon\game\construct-panel\que-panel_bmp_l.dds"                            , "12"   , "52"    , "dds"
"ui\aeon\game\construct-panel\que-panel_bmp_m.dds"                            , "8"    , "52"    , "dds"
"ui\aeon\game\construct-panel\que-panel_bmp_r.dds"                            , "12"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\back_off.dds"                                  , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\back_on.dds"                                   , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\fforward_off.dds"                              , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\fforward_on.dds"                               , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\forward_off.dds"                               , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\forward_on.dds"                                , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\infinite_off.dds"                              , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\infinite_on.dds"                               , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\left_btn_dis.dds"                              , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\left_btn_over.dds"                             , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\left_btn_up.dds"                               , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\mid_btn_dis.dds"                               , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\mid_btn_over.dds"                              , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\mid_btn_selected.dds"                          , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\mid_btn_up.dds"                                , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\pause_off.dds"                                 , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\pause_on.dds"                                  , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\rewind_off.dds"                                , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\rewind_on.dds"                                 , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\right_btn_dis.dds"                             , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\right_btn_over.dds"                            , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\right_btn_up.dds"                              , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\template_off.dds"                              , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_btn\template_on.dds"                               , "24"   , "52"    , "dds"
"ui\aeon\game\construct-sm_horiz_btn\infinite_off.dds"                        , "60"   , "28"    , "dds"
"ui\aeon\game\construct-sm_horiz_btn\infinite_on.dds"                         , "60"   , "28"    , "dds"
"ui\aeon\game\construct-sm_horiz_btn\pause_off.dds"                           , "60"   , "28"    , "dds"
"ui\aeon\game\construct-sm_horiz_btn\pause_on.dds"                            , "60"   , "28"    , "dds"
"ui\aeon\game\construct-sm_horiz_btn\que_btn_dis.dds"                         , "60"   , "28"    , "dds"
"ui\aeon\game\construct-sm_horiz_btn\que_btn_over.dds"                        , "60"   , "28"    , "dds"
"ui\aeon\game\construct-sm_horiz_btn\que_btn_selected.dds"                    , "60"   , "28"    , "dds"
"ui\aeon\game\construct-sm_horiz_btn\que_btn_up.dds"                          , "60"   , "28"    , "dds"
"ui\aeon\game\construct-sm_horiz_btn\template_off.dds"                        , "60"   , "28"    , "dds"
"ui\aeon\game\construct-sm_horiz_btn\template_on.dds"                         , "60"   , "28"    , "dds"
"ui\aeon\game\construct-sm_nav_horiz_btn\bottom_btn_dis.dds"                  , "60"   , "16"    , "dds"
"ui\aeon\game\construct-sm_nav_horiz_btn\bottom_btn_over.dds"                 , "60"   , "16"    , "dds"
"ui\aeon\game\construct-sm_nav_horiz_btn\bottom_btn_up.dds"                   , "60"   , "16"    , "dds"
"ui\aeon\game\construct-sm_nav_horiz_btn\down_off.dds"                        , "60"   , "16"    , "dds"
"ui\aeon\game\construct-sm_nav_horiz_btn\down_on.dds"                         , "60"   , "16"    , "dds"
"ui\aeon\game\construct-sm_nav_horiz_btn\end_off.dds"                         , "60"   , "16"    , "dds"
"ui\aeon\game\construct-sm_nav_horiz_btn\end_on.dds"                          , "60"   , "16"    , "dds"
"ui\aeon\game\construct-sm_nav_horiz_btn\home_off.dds"                        , "60"   , "16"    , "dds"
"ui\aeon\game\construct-sm_nav_horiz_btn\home_on.dds"                         , "60"   , "16"    , "dds"
"ui\aeon\game\construct-sm_nav_horiz_btn\mid_btn_dis.dds"                     , "60"   , "16"    , "dds"
"ui\aeon\game\construct-sm_nav_horiz_btn\mid_btn_over.dds"                    , "60"   , "16"    , "dds"
"ui\aeon\game\construct-sm_nav_horiz_btn\mid_btn_up.dds"                      , "60"   , "16"    , "dds"
"ui\aeon\game\construct-sm_nav_horiz_btn\top_btn_dis.dds"                     , "60"   , "16"    , "dds"
"ui\aeon\game\construct-sm_nav_horiz_btn\top_btn_over.dds"                    , "60"   , "16"    , "dds"
"ui\aeon\game\construct-sm_nav_horiz_btn\top_btn_up.dds"                      , "60"   , "16"    , "dds"
"ui\aeon\game\construct-sm_nav_horiz_btn\up_off.dds"                          , "60"   , "16"    , "dds"
"ui\aeon\game\construct-sm_nav_horiz_btn\up_on.dds"                           , "60"   , "16"    , "dds"
"ui\aeon\game\construct-tab_btn\bot_tab_btn_dis_bmp.dds"                      , "76"   , "56"    , "dds"
"ui\aeon\game\construct-tab_btn\bot_tab_btn_down_bmp.dds"                     , "76"   , "56"    , "dds"
"ui\aeon\game\construct-tab_btn\bot_tab_btn_over_bmp.dds"                     , "76"   , "56"    , "dds"
"ui\aeon\game\construct-tab_btn\bot_tab_btn_sel_bmp.dds"                      , "76"   , "56"    , "dds"
"ui\aeon\game\construct-tab_btn\bot_tab_btn_up_bmp.dds"                       , "76"   , "56"    , "dds"
"ui\aeon\game\construct-tab_btn\mid_tab_btn_dis_bmp.dds"                      , "76"   , "56"    , "dds"
"ui\aeon\game\construct-tab_btn\mid_tab_btn_down_bmp.dds"                     , "76"   , "56"    , "dds"
"ui\aeon\game\construct-tab_btn\mid_tab_btn_over_bmp.dds"                     , "76"   , "56"    , "dds"
"ui\aeon\game\construct-tab_btn\mid_tab_btn_sel_bmp.dds"                      , "76"   , "56"    , "dds"
"ui\aeon\game\construct-tab_btn\mid_tab_btn_up_bmp.dds"                       , "76"   , "56"    , "dds"
"ui\aeon\game\construct-tab_btn\top_tab_btn_dis_bmp.dds"                      , "76"   , "56"    , "dds"
"ui\aeon\game\construct-tab_btn\top_tab_btn_down_bmp.dds"                     , "76"   , "56"    , "dds"
"ui\aeon\game\construct-tab_btn\top_tab_btn_over_bmp.dds"                     , "76"   , "56"    , "dds"
"ui\aeon\game\construct-tab_btn\top_tab_btn_sel_bmp.dds"                      , "76"   , "56"    , "dds"
"ui\aeon\game\construct-tab_btn\top_tab_btn_up_bmp.dds"                       , "76"   , "56"    , "dds"
"ui\aeon\game\construct-tab_top_btn\bot_tab_btn_dis_bmp.dds"                  , "60"   , "32"    , "dds"
"ui\aeon\game\construct-tab_top_btn\bot_tab_btn_down_bmp.dds"                 , "60"   , "32"    , "dds"
"ui\aeon\game\construct-tab_top_btn\bot_tab_btn_over_bmp.dds"                 , "60"   , "32"    , "dds"
"ui\aeon\game\construct-tab_top_btn\bot_tab_btn_sel_bmp.dds"                  , "60"   , "32"    , "dds"
"ui\aeon\game\construct-tab_top_btn\bot_tab_btn_up_bmp.dds"                   , "60"   , "32"    , "dds"
"ui\aeon\game\construct-tab_top_btn\mid_tab_btn_dis_bmp.dds"                  , "60"   , "32"    , "dds"
"ui\aeon\game\construct-tab_top_btn\mid_tab_btn_down_bmp.dds"                 , "60"   , "32"    , "dds"
"ui\aeon\game\construct-tab_top_btn\mid_tab_btn_over_bmp.dds"                 , "60"   , "32"    , "dds"
"ui\aeon\game\construct-tab_top_btn\mid_tab_btn_sel_bmp.dds"                  , "60"   , "32"    , "dds"
"ui\aeon\game\construct-tab_top_btn\mid_tab_btn_up_bmp.dds"                   , "60"   , "32"    , "dds"
"ui\aeon\game\construct-tab_top_btn\top_tab_btn_dis_bmp.dds"                  , "60"   , "32"    , "dds"
"ui\aeon\game\construct-tab_top_btn\top_tab_btn_down_bmp.dds"                 , "60"   , "32"    , "dds"
"ui\aeon\game\construct-tab_top_btn\top_tab_btn_over_bmp.dds"                 , "60"   , "32"    , "dds"
"ui\aeon\game\construct-tab_top_btn\top_tab_btn_sel_bmp.dds"                  , "60"   , "32"    , "dds"
"ui\aeon\game\construct-tab_top_btn\top_tab_btn_up_bmp.dds"                   , "60"   , "32"    , "dds"
"ui\aeon\game\construct-tech_btn\left_upgrade_btn_dis.dds"                    , "32"   , "32"    , "dds"
"ui\aeon\game\construct-tech_btn\left_upgrade_btn_down.dds"                   , "32"   , "32"    , "dds"
"ui\aeon\game\construct-tech_btn\left_upgrade_btn_over.dds"                   , "32"   , "32"    , "dds"
"ui\aeon\game\construct-tech_btn\left_upgrade_btn_selected.dds"               , "32"   , "32"    , "dds"
"ui\aeon\game\construct-tech_btn\left_upgrade_btn_up.dds"                     , "32"   , "32"    , "dds"
"ui\aeon\game\construct-tech_btn\m_upgrade_btn_dis.dds"                       , "32"   , "32"    , "dds"
"ui\aeon\game\construct-tech_btn\m_upgrade_btn_down.dds"                      , "32"   , "32"    , "dds"
"ui\aeon\game\construct-tech_btn\m_upgrade_btn_over.dds"                      , "32"   , "32"    , "dds"
"ui\aeon\game\construct-tech_btn\m_upgrade_btn_selected.dds"                  , "32"   , "32"    , "dds"
"ui\aeon\game\construct-tech_btn\m_upgrade_btn_up.dds"                        , "32"   , "32"    , "dds"
"ui\aeon\game\construct-tech_btn\r_upgrade_btn_dis.dds"                       , "32"   , "32"    , "dds"
"ui\aeon\game\construct-tech_btn\r_upgrade_btn_down.dds"                      , "32"   , "32"    , "dds"
